id,y_true,y_pred,absolute_error
1736267271.287086,113.0,157.03329164468582,44.03329164468582
1736267276.346008,317.0,230.559465946703,86.440534053297
1736267281.405918,230.0,284.13968072574926,54.13968072574926
1736267286.443951,275.0,234.90789953342886,40.09210046657114
1736267291.477983,52.0,61.1286680946513,9.128668094651303
1736267296.514807,88.0,144.85620155198018,56.85620155198018
1736267301.555011,104.0,101.05531243166942,2.944687568330579
1736267306.582514,170.0,134.57861970761707,35.421380292382935
1736267311.617038,198.0,157.92323491051735,40.07676508948265
1736267316.672631,72.0,50.859338459277225,21.140661540722775
1736267321.707397,63.0,118.85411575847118,55.85411575847118
1736267326.736103,150.0,125.22309514887857,24.77690485112143
1736267331.781532,184.0,165.48778814485598,18.512211855144017
1736267336.820344,136.0,150.4996403640423,14.499640364042307
1736267341.875692,113.0,157.03329164468582,44.03329164468582
1736267346.906422,58.0,165.09471401739233,107.09471401739233
1736267351.965171,85.0,152.82859640938923,67.82859640938923
1736267357.060302,277.0,178.25972601853587,98.74027398146413
1736267362.153955,183.0,115.87639955548843,67.12360044451157
1736267367.221864,141.0,166.00456206850896,25.00456206850896
1736267372.251768,178.0,193.01767569490363,15.01767569490363
1736267377.291081,142.0,138.95794611461957,3.042053885380426
1736267382.344704,109.0,162.6473989763018,53.64739897630179
1736267387.389498,47.0,46.59573859486116,0.4042614051388398
1736267392.442361,31.0,97.79557804124121,66.79557804124121
1736267397.500855,102.0,87.66299299506956,14.337007004930442
1736267402.530407,48.0,192.59955487492226,144.59955487492226
1736267407.585226,102.0,111.44927557408718,9.449275574087181
1736267412.622,200.0,179.15539665935964,20.84460334064036
1736267417.677001,225.0,169.5568762854548,55.44312371454521
1736267422.769461,248.0,203.7505820486254,44.249417951374596
